method,sequence,n_total,n_completed,n_legal_evaluation,n_evidence,ATE_RMSE_mean,ATE_RMSE_std,RPE_translation_RMSE_mean,RPE_translation_RMSE_std,tracking_gap_episodes_mean,tracking_gap_episodes_std,TSR_mean,TSR_std,PMR_mean,PMR_std,Tracking_FPS_mean,Tracking_FPS_std,dynamic_map_points_mean_mean,dynamic_map_points_mean_std,suppressed_map_points_mean_mean,suppressed_map_points_mean_std,mappoint_state_switches_mean,mappoint_state_switches_std,Switching_Frequency_mean,Switching_Frequency_std
Semantic,fr3_walking_xyz,5,3,3,3,0.636592811,0.044087119,0.020913075,0.000446718,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,8.623021751,0.096301992,381.475383374,90.839730058,0.000000000,0.000000000,44633.000000000,9273.459117287,0.033154473,0.002087424
Semantic,fr3_walking_rpy,5,5,5,5,0.737261380,0.052199813,0.110613847,0.009959614,9.000000000,5.338539126,0.556351039,0.099880855,0.443648961,0.099880855,3.516666463,0.014353858,137.566343060,19.457527507,0.000000000,0.000000000,20609.800000000,5659.445706074,0.037763664,0.005630122
Semantic,fr3_walking_halfsphere,5,5,5,5,0.329375764,0.217321698,0.035734209,0.015458479,7.200000000,3.633180425,0.651322233,0.159705979,0.348677767,0.159705979,9.259284689,0.214783685,186.444835428,39.769824762,0.000000000,0.000000000,25644.800000000,12639.039706402,0.034144953,0.004834168
Temporal,fr3_walking_xyz,5,5,5,5,0.564395636,0.038334928,0.020212895,0.000379091,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,9.108095012,0.104558252,399.786682809,36.072532907,399.786682809,36.072532907,23653.600000000,2102.575991492,0.020625076,0.000576484
Temporal,fr3_walking_rpy,5,5,5,5,0.612946591,0.340531609,0.077451777,0.050533839,7.200000000,3.114482300,0.515935335,0.241324850,0.484064665,0.241324850,3.580624154,0.026353005,174.674581079,68.482517872,174.674581079,68.482517872,12484.400000000,7519.313984666,0.027632307,0.005385982
Temporal,fr3_walking_halfsphere,5,5,5,5,0.321822831,0.172719678,0.033255192,0.014341520,6.000000000,4.636809248,0.625269344,0.175936347,0.374730656,0.175936347,9.503777043,0.237952892,269.278376912,50.797288723,269.278376912,50.797288723,15382.400000000,6260.099583872,0.021741559,0.001243013
