experiment,method,sequence,run_id,raw_process_status,experiment_completion_status,legal_evaluation,trajectory_rows,trajectory_columns,trajectory_sha256,evaluation_script,max_timestamp_diff,alignment,groundtruth,ATE_RMSE,ATE_mean,ATE_median,RPE_translation_RMSE,RPE_rotation_RMSE_deg,run_dir
P2,Semantic,fr3_walking_halfsphere,run_01,exit_0,completed,1,618,8,af942328c3652a5894f20b8e1dab753111ab207fc85ebe3fcbbb81ae3977eef2,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.20222960188001773,0.1499762451362782,0.10144156364575056,0.0392140273540238,0.8489922098245862,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_01
P2,Semantic,fr3_walking_halfsphere,run_02,exit_0,completed,1,578,8,8354617960dfd096f141a179c329b822d0ab82485d5dca4c4acc0c1d92cba85c,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.5412918241214172,0.5200176972195045,0.529201850084356,0.03354690818937144,0.717533957760836,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_02
P2,Semantic,fr3_walking_halfsphere,run_03,exit_0,completed,1,645,8,7b8b197ddbf72ab848a804b1849570b93ec36fa658320f77a33067c3f6150126,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.49100030979233666,0.4782768884024564,0.45284668486020496,0.027569003553316238,0.6223170544555572,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_03
P2,Semantic,fr3_walking_halfsphere,run_04,exit_0,completed,1,556,8,e8d5ea7185c393779f9acf62480c416279e83f08a4877be2367f77c4635c9b46,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.14300820459005698,0.07317304719660617,0.03953711617106961,0.04127826769192799,0.939012439028921,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_04
P2,Semantic,fr3_walking_halfsphere,run_05,exit_0,completed,1,700,8,ffcce019c651954c5e7c9a34dd1fade5b98a41efd2e9caca3cd9254212e5d7b1,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt,0.26880195582825106,0.23340188662141179,0.17527460276635556,0.02797752296124229,0.6412639069256164,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_05
P2,Temporal,fr3_walking_xyz,run_01,exit_0,completed,1,827,8,ddc60a75a5cd0e1f8bf18ef148733d701f0e1c56fcb16193c572f0e86174814d,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.42849113031853103,0.35916971305892825,0.3242450452092014,0.01955611023697756,0.49885394899281654,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_xyz/run_01
P2,Temporal,fr3_walking_xyz,run_02,exit_0,completed,1,827,8,7c4169b6b9671d5067b67c3892238cf30b2c81b1cacdea09ee19fdbc7d1a32e4,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.5731947368633444,0.512463957032456,0.48169007380540513,0.021135629798235342,0.5090348899724895,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_xyz/run_02
P2,Temporal,fr3_walking_xyz,run_03,exit_0,completed,1,827,8,e5c2b97eb5e7cd0ebfcd52a94807ba0176bf7bd31796f760c4f0ce056a10e3bc,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.6123777084196482,0.5441985730834522,0.5248035747359598,0.020226514201812887,0.5041786734122179,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_xyz/run_03
P2,Temporal,fr3_walking_xyz,run_04,exit_0,completed,1,827,8,29f4dbf274200a1e710eaae0becf7bcf3d1a6b57729e05bbcc4de4ac0813b8d7,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.5538382909877327,0.48228648169872684,0.47386949405797385,0.020067029293797625,0.5115120809086093,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_xyz/run_04
P2,Temporal,fr3_walking_xyz,run_05,exit_0,completed,1,827,8,ddf9e2909138b71e5bcec4a20df1719d7ad064ad8237be32e42968ee71f60bcf,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt,0.6434383361753573,0.571488282128426,0.5571265521830399,0.02132980038456032,0.5108130632155553,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_xyz/run_05
P2,Temporal,fr3_walking_rpy,run_01,exit_0,completed,1,384,8,cd2df46231b78b4121239bfbf75056c4abc8664e6db848a9b33983a6834135ad,scripts/evaluate_tum_metrics.py,0.02,single SE(3) Umeyama/SVD alignment for ATE; RPE computed from unaligned consecutive relative poses,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/groundtruth.txt,0.7601880475690973,0.7206170426534025,0.7756973559465941,0.11855373014303146,2.526074412932236,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_rpy/run_01
