sequence,n_total,n_raw_exit_0,n_raw_nonzero_or_unknown,n_completed,n_incomplete,n_invalid,n_legal_evaluation,raw_exit_0_rate,experiment_completion_rate,ATE_RMSE_mean,ATE_RMSE_std,ATE_RMSE_min,ATE_RMSE_max,ATE_mean_mean,ATE_median_mean,RPE_translation_mean,RPE_translation_std,RPE_rotation_mean,RPE_rotation_std,TSR_mean,TSR_std,PMR_mean,PMR_std,Tracking_FPS_mean,Tracking_FPS_std,EndToEnd_FPS_mean,EndToEnd_FPS_std
fr3_walking_xyz,5,5,0,5,0,0,5,1.000000000,1.000000000,0.538911446,0.042123627,0.502110916,0.592021044,0.471708602,0.468791181,0.020008209,0.000582407,0.500840332,0.007939727,1.000000000,0.000000000,0.000000000,0.000000000,9.103511523,0.126259972,7.021998288,0.193834771
fr3_walking_rpy,5,3,2,5,0,0,5,0.600000000,1.000000000,0.465345095,0.395890499,0.031456029,0.819464633,0.419346689,0.422750274,0.068618533,0.051352358,1.469133357,1.087748051,0.334872979,0.218157723,0.665127021,0.218157723,3.640280643,0.039083903,3.244208308,0.033858263
fr3_walking_halfsphere,5,5,0,5,0,0,5,1.000000000,1.000000000,0.443035265,0.209125910,0.178973992,0.685452167,0.416632539,0.396094625,0.041883302,0.026301599,0.903543224,0.471233192,0.739862880,0.178745120,0.260137120,0.178745120,9.161973187,0.150189189,7.193119009,0.108597845
