method,sequence,run_id,raw_process_status,experiment_completion_status,exit_code,association_total_frames,trajectory_valid_poses,ATE_RMSE,RPE_translation_RMSE,tracking_gap_episodes,TSR,PMR,Tracking_FPS,runtime_seconds,frame_log_frames,dynamic_map_points_mean,suppressed_map_points_mean,cull_dynamic_map_points_mean,cull_suppressed_map_points_mean,mappoint_state_switches,mappoint_state_transition_opportunities,Switching_Frequency,has_evidence,has_legal_evaluation,run_dir
Temporal,fr3_walking_xyz,run_03,exit_0,completed,0,827,827,0.583227788,0.020547525,0,1.000000000,0.000000000,9.173975267,117.136513121,826,422.000000000,422.000000000,0.000000000,0.000000000,24141,1168213,0.020664896,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_xyz/run_03
Temporal,fr3_walking_xyz,run_04,exit_0,completed,0,827,827,0.559944068,0.019632349,0,1.000000000,0.000000000,9.110372159,116.097494961,826,388.928571429,388.928571429,0.000000000,0.000000000,24660,1167004,0.021131033,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_xyz/run_04
Temporal,fr3_walking_xyz,run_05,exit_0,completed,0,827,827,0.604371344,0.020088704,0,1.000000000,0.000000000,9.006574800,117.766222872,826,449.104116223,449.104116223,0.000000000,0.000000000,26293,1248735,0.021055708,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_xyz/run_05
Temporal,fr3_walking_rpy,run_01,exit_0,completed,0,866,420,0.754035038,0.123785085,5,0.484988453,0.515011547,3.617565451,271.653922905,474,148.443037975,148.443037975,0.000000000,0.073839662,10944,449829,0.024329245,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_rpy/run_01
Temporal,fr3_walking_rpy,run_02,exit_0,completed,0,866,593,0.884950443,0.113100439,4,0.684757506,0.315242494,3.561748249,272.196856918,630,203.966666667,203.966666667,0.000000000,0.071428571,17037,617191,0.027604097,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_rpy/run_02
Temporal,fr3_walking_rpy,run_03,exit_0,completed,0,866,102,0.019922519,0.017071105,8,0.117782910,0.882217090,3.592379844,271.370506012,177,70.361581921,70.361581921,0.000000000,0.186440678,2085,57767,0.036093271,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_rpy/run_03
Temporal,fr3_walking_rpy,run_04,exit_0,completed,0,866,624,0.670587634,0.104847592,7,0.720554273,0.279445727,3.550316866,272.348631508,667,249.857571214,249.857571214,0.000000000,0.031484258,21993,778249,0.028259593,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_rpy/run_04
Temporal,fr3_walking_rpy,run_05,exit_0,completed,0,866,495,0.735237320,0.028454666,12,0.571593533,0.428406467,3.581110359,271.031181021,504,200.744047619,200.744047619,0.000000000,0.134920635,10363,473730,0.021875330,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_rpy/run_05
Temporal,fr3_walking_halfsphere,run_01,exit_0,completed,0,1021,456,0.213528303,0.021328242,2,0.446620960,0.553379040,9.433606279,145.747769276,464,241.829741379,241.829741379,0.000000000,0.008620690,8940,455241,0.019637950,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_halfsphere/run_01
Temporal,fr3_walking_halfsphere,run_02,exit_0,completed,0,1021,591,0.182423099,0.026056745,11,0.578844270,0.421155730,9.225262459,143.400587899,608,251.611842105,251.611842105,0.000000000,0.049342105,14024,622784,0.022518241,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_halfsphere/run_02
Temporal,fr3_walking_halfsphere,run_03,exit_0,completed,0,1021,680,0.504070387,0.053330181,11,0.666013712,0.333986288,9.357425585,139.242640865,695,241.968345324,241.968345324,0.000000000,0.089208633,15802,718969,0.021978694,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_halfsphere/run_03
Temporal,fr3_walking_halfsphere,run_04,exit_0,completed,0,1021,540,0.192046102,0.043391499,2,0.528893242,0.471106758,9.746683691,135.813074154,557,251.235188510,251.235188510,0.000000000,0.000000000,12516,574510,0.021785522,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_halfsphere/run_04
Temporal,fr3_walking_halfsphere,run_05,exit_0,completed,0,1021,925,0.517046262,0.022169293,4,0.905974535,0.094025465,9.755907202,134.557310026,928,359.746767241,359.746767241,0.000000000,0.060344828,25630,1124745,0.022787387,1,1,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/03_temporal_continuity/Temporal/fr3_walking_halfsphere/run_05
