variant,sequence,run_id,Switching_Frequency,Label_Fluctuation,Probability_Variance,Mean_Probability_Change,Temporal_Consistency_Score,metric_note
Object-level Semantic Map,fr3_walking_xyz,run_01,0.01907356948228883,0.02710022367584513,nan,nan,0.9728997763241549,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_xyz,run_02,0.01696969696969697,0.026759049098076696,nan,nan,0.9732409509019233,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_xyz,run_03,0.01696969696969697,0.026803647513240155,nan,nan,0.9731963524867598,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_rpy,run_01,0.05245901639344262,0.03860586434142715,nan,nan,0.9613941356585729,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_rpy,run_02,0.05203252032520325,0.04021035219949128,nan,nan,0.9597896478005087,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_rpy,run_03,0.05592105263157895,0.05052105344429634,nan,nan,0.9494789465557036,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_halfsphere,run_01,0.04329004329004329,0.03858130173919647,nan,nan,0.9614186982608035,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_halfsphere,run_02,0.0421455938697318,0.0361436045048815,nan,nan,0.9638563954951185,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Object-level Semantic Map,fr3_walking_halfsphere,run_03,0.050666666666666665,0.04215212922173275,nan,nan,0.9578478707782673,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Full Model,fr3_walking_xyz,run_01,0.01696969696969697,0.026881540282154587,nan,nan,0.9731184597178454,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Full Model,fr3_walking_xyz,run_02,0.01662049861495845,0.025017013486183137,nan,nan,0.9749829865138169,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Full Model,fr3_walking_xyz,run_03,0.01696969696969697,0.02699420969643969,nan,nan,0.9730057903035603,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Full Model,fr3_walking_rpy,run_01,0.0,0.042845436288059244,nan,nan,0.9571545637119407,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Full Model,fr3_walking_rpy,run_02,0.0,0.042529489276915924,nan,nan,0.9574705107230841,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Full Model,fr3_walking_rpy,run_03,0.0,0.042055021046301856,nan,nan,0.9579449789536981,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Full Model,fr3_walking_halfsphere,run_01,0.03672787979966611,0.03625804437659219,nan,nan,0.9637419556234078,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Full Model,fr3_walking_halfsphere,run_02,0.05697151424287856,0.043359060433047714,nan,nan,0.9566409395669523,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
Full Model,fr3_walking_halfsphere,run_03,0.050473186119873815,0.039860450288158746,nan,nan,0.9601395497118412,Switching and fluctuation are frame-level aggregate proxies from SemanticDynamicStatistics; probability and ID metrics are unavailable.
