variant,variant_key,sequence,run_id,status,ATE_RMSE,RPE_translation_RMSE,RPE_rotation_RMSE,FPS,Pose_Missing_Ratio,Precision,Recall,F1,Trajectory_Smoothness,Switching_Frequency,Label_Fluctuation,Probability_Variance,Mean_Probability_Change,Temporal_Consistency_Score,ID_Switches,Average_Track_Length,Input_Frames,Valid_Poses,Total_Runtime_sec,run_dir
Semantic Mask,semantic_mask,fr3_walking_halfsphere,run_01,completed,0.6581979072715003,0.02077393079141475,0.5399054130495858,13.387834,0.015670910871694366,nan,nan,nan,0.019317896659316113,0.045816733067729085,0.04298112580004634,nan,nan,0.9570188741999537,nan,nan,1021,1005,76.263269,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_halfsphere/run_01
Semantic Mask,semantic_mask,fr3_walking_halfsphere,run_02,completed,0.49262065253418336,0.06673459166949834,1.2587947260778694,14.500353,0.2918707149853085,nan,nan,nan,0.029487060255007656,0.04689655172413793,0.040004277878783245,nan,nan,0.9599957221212168,nan,nan,1021,723,70.412081,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_halfsphere/run_02
Semantic Mask,semantic_mask,fr3_walking_halfsphere,run_03,completed,0.546066841418954,0.06635933879551276,1.2240786207813934,15.038968,0.45249755142017634,nan,nan,nan,0.0314099999584238,0.03935599284436494,0.03597923866682662,nan,nan,0.9640207613331734,nan,nan,1021,559,67.890297,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/semantic_mask/fr3_walking_halfsphere/run_03
Temporal Consistency,temporal_consistency,fr3_walking_xyz,run_01,completed,0.323609640799078,0.049229962589908166,1.009268899782058,12.965188,0.0,nan,nan,nan,0.031250889084120756,0.01696969696969697,0.026882814155541425,nan,nan,0.9731171858444586,nan,nan,827,827,63.786194,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/temporal_consistency/fr3_walking_xyz/run_01
Temporal Consistency,temporal_consistency,fr3_walking_xyz,run_02,completed,0.679993459325272,0.020809140691903157,0.5234832264253269,13.096910,0.0,nan,nan,nan,0.020604613456544126,0.01696969696969697,0.026972752514181714,nan,nan,0.9730272474858183,nan,nan,827,827,63.144668,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/temporal_consistency/fr3_walking_xyz/run_02
Temporal Consistency,temporal_consistency,fr3_walking_xyz,run_03,completed,0.5409058538088971,0.020811188315839554,0.5086925493961901,13.623204,0.0,nan,nan,nan,0.022648482721707566,0.01696969696969697,0.026747333227193124,nan,nan,0.9732526667728069,nan,nan,827,827,60.705249,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/temporal_consistency/fr3_walking_xyz/run_03
Temporal Consistency,temporal_consistency,fr3_walking_rpy,run_01,completed,0.0514723571711371,0.03770845687002764,0.8097331175083932,14.008319,0.9584295612009238,nan,nan,nan,0.029973572364600617,0.0,0.05132978723404255,nan,nan,0.9486702127659574,nan,nan,866,36,61.820407,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/temporal_consistency/fr3_walking_rpy/run_01
Temporal Consistency,temporal_consistency,fr3_walking_rpy,run_02,completed,0.05219924092336512,0.03432769964991996,0.7598591536379912,11.507780,0.9572748267898383,nan,nan,nan,0.02955032775869108,0.0,0.056144144144144155,nan,nan,0.9438558558558559,nan,nan,866,37,75.253435,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/temporal_consistency/fr3_walking_rpy/run_02
Temporal Consistency,temporal_consistency,fr3_walking_rpy,run_03,completed,0.013529703289077948,0.01354311061031836,0.39847148994372356,13.137883,0.9064665127020786,nan,nan,nan,0.029088798709278177,0.04819277108433735,0.04642467674092539,nan,nan,0.9535753232590746,nan,nan,866,81,65.916250,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/temporal_consistency/fr3_walking_rpy/run_03
Temporal Consistency,temporal_consistency,fr3_walking_halfsphere,run_01,completed,0.21901730027422253,0.028481766454520083,0.6749668342271463,11.681908,0.2017629774730656,nan,nan,nan,0.023650565900511147,0.051533742331288344,0.0439921923549686,nan,nan,0.9560078076450313,nan,nan,1021,815,87.400105,/home/djn/123/ORB_SLAM2_AddSemantic/experiment_new/independent_ablation_v3/runs/temporal_consistency/fr3_walking_halfsphere/run_01
