Variant,ATE (m),RPE (m),FPS (frame/s),Pose Missing Ratio,F1-score,Switching Frequency,Temporal Consistency Score
Baseline,0.8485 ± 0.2689,0.0588 ± 0.0304,14.0979 ± 3.1163,0.2234 ± 0.1872,NA,0.0000 ± 0.0000,1.0000 ± 0.0000
Semantic Mask,0.5701 ± 0.2328,0.0558 ± 0.0341,13.3753 ± 1.0619,0.3211 ± 0.3044,NA,0.0367 ± 0.0253,0.9623 ± 0.0101
Temporal Consistency,0.2424 ± 0.2317,0.0296 ± 0.0105,13.0124 ± 0.8745,0.4211 ± 0.4176,NA,0.0259 ± 0.0201,0.9609 ± 0.0111
Object-level Semantic Map,0.5620 ± 0.2708,0.0598 ± 0.0432,11.8681 ± 1.1552,0.2312 ± 0.1625,NA,0.0388 ± 0.0165,0.9637 ± 0.0081
Full Model,0.2660 ± 0.2902,0.0244 ± 0.0074,12.4740 ± 1.5840,0.4615 ± 0.4045,NA,0.0216 ± 0.0217,0.9638 ± 0.0077
