method,sequence,run_id,original_status,raw_process_status,experiment_completion_status,exit_code,association_total_frames,trajectory_valid_poses,ATE_RMSE,ATE_mean,ATE_median,ATE_std,RPE_translation_RMSE,RPE_rotation_RMSE,TSR,PMR,tracking_gap_episodes,Tracking_FPS,EndToEnd_FPS,runtime_seconds,has_legal_evaluation,source,run_dir
Semantic,fr3_walking_xyz,run_02,success,exit_0,completed,,827,827,0.499782882,0.437563373,0.410214366,0.241497875,0.019788354,0.494397174,1.000000000,0.000000000,0,9.855712371,7.442776523,111.114447330,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_xyz/run_02
Semantic,fr3_walking_xyz,run_03,success,exit_0,completed,,827,827,0.566867579,0.486040691,0.410916372,0.291724697,0.020190868,0.509234360,1.000000000,0.000000000,0,9.799694250,7.392759654,111.866209475,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_xyz/run_03
Semantic,fr3_walking_xyz,run_04,success,exit_0,completed,,827,827,0.556619812,0.493613619,0.456508146,0.257237652,0.021545557,0.508474143,1.000000000,0.000000000,0,9.405302710,7.197290363,114.904354042,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_xyz/run_04
Semantic,fr3_walking_xyz,run_05,success,exit_0,completed,,827,827,0.453798682,0.397222349,0.356024682,0.219425726,0.021650915,0.512875944,1.000000000,0.000000000,0,9.301373813,7.142852213,115.780079914,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_xyz/run_05
Semantic,fr3_walking_rpy,run_01,success,exit_0,completed,,866,393,0.748927751,0.717733991,0.752005196,0.213894119,0.113550080,2.385569603,0.453810624,0.546189376,5,3.652968037,3.200455051,270.586521670,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_rpy/run_01
Semantic,fr3_walking_rpy,run_02,success,exit_0,completed,,866,607,0.784735315,0.684131343,0.647964624,0.384413605,0.105804634,2.226191235,0.700923788,0.299076212,5,3.622374684,3.225196391,268.510780426,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_rpy/run_02
Semantic,fr3_walking_rpy,run_03,success,exit_0,completed,,866,604,0.744157911,0.646382880,0.599270924,0.368727771,0.110475452,2.285256191,0.697459584,0.302540416,5,3.606905059,3.213241776,269.509753835,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_rpy/run_03
Semantic,fr3_walking_rpy,run_04,success,exit_0,completed,,866,582,0.693139616,0.606570557,0.481523710,0.335432090,0.035131907,0.685880981,0.672055427,0.327944573,3,3.606280698,3.217190692,269.178946135,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_rpy/run_04
Semantic,fr3_walking_rpy,run_05,success,exit_0,completed,,866,606,0.775076461,0.672881488,0.583533726,0.384673918,0.114141814,2.369042028,0.699769053,0.300230947,8,3.614100776,3.232375843,267.914389336,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_rpy/run_05
Semantic,fr3_walking_halfsphere,run_01,success,exit_0,completed,,1021,618,0.202229602,0.149976245,0.101441564,0.135661114,0.039214027,0.848992210,0.605288932,0.394711068,9,9.615569530,7.171132997,142.376386053,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_01
Semantic,fr3_walking_halfsphere,run_02,success,exit_0,completed,,1021,578,0.541291824,0.520017697,0.529201850,0.150261217,0.033546908,0.717533958,0.566111655,0.433888345,2,9.598679222,7.422406810,137.556459271,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_02
Semantic,fr3_walking_halfsphere,run_03,success,exit_0,completed,,1021,645,0.491000310,0.478276888,0.452846685,0.111051890,0.027569004,0.622317054,0.631733595,0.368266405,12,9.553653317,7.414351917,137.705899501,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_03
Semantic,fr3_walking_halfsphere,run_04,success,exit_0,completed,,1021,556,0.143008205,0.073173047,0.039537116,0.122870060,0.041278268,0.939012439,0.544564153,0.455435847,11,9.287896941,7.252219973,140.784477553,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_04
Semantic,fr3_walking_halfsphere,run_05,success,exit_0,completed,,1021,700,0.268801956,0.233401887,0.175274603,0.133334357,0.027977523,0.641263907,0.685602351,0.314397649,4,9.384912814,7.344368158,139.018085428,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Semantic/fr3_walking_halfsphere/run_05
Temporal,fr3_walking_xyz,run_01,success,exit_0,completed,,827,827,0.428491130,0.359169713,0.324245045,0.233670208,0.019556110,0.498853949,1.000000000,0.000000000,0,8.870989204,6.470675719,127.807362934,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_xyz/run_01
Temporal,fr3_walking_xyz,run_02,success,exit_0,completed,,827,827,0.573194737,0.512463957,0.481690074,0.256774023,0.021135630,0.509034890,1.000000000,0.000000000,0,8.978756263,6.745474809,122.600709875,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_xyz/run_02
Temporal,fr3_walking_xyz,run_03,success,exit_0,completed,,827,827,0.612377708,0.544198573,0.524803575,0.280810204,0.020226514,0.504178673,1.000000000,0.000000000,0,9.126752336,6.688973230,123.636314805,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_xyz/run_03
Temporal,fr3_walking_xyz,run_04,success,exit_0,completed,,827,827,0.553838291,0.482286482,0.473869494,0.272280374,0.020067029,0.511512081,1.000000000,0.000000000,0,9.140934935,6.947631676,119.033368280,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_xyz/run_04
Temporal,fr3_walking_xyz,run_05,success,exit_0,completed,,827,827,0.643438336,0.571488282,0.557126552,0.295658648,0.021329800,0.510813063,1.000000000,0.000000000,0,9.102494083,6.904663772,119.774116071,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_xyz/run_05
Temporal,fr3_walking_rpy,run_01,success,exit_0,completed,,866,384,0.760188048,0.720617043,0.775697356,0.242068060,0.118553730,2.526074413,0.443418014,0.556581986,3,3.544377377,3.115278266,277.984798149,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_rpy/run_01
Temporal,fr3_walking_rpy,run_02,success,exit_0,completed,,866,537,0.775252103,0.600666673,0.413286711,0.490117711,0.128376696,2.599534257,0.620092379,0.379907621,8,3.581148833,3.186464003,271.774606301,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_rpy/run_02
Temporal,fr3_walking_rpy,run_03,success,exit_0,completed,,866,374,0.656908728,0.623085023,0.612564218,0.208072417,0.109740824,2.192221669,0.431870670,0.568129330,4,3.576704210,3.197246111,270.858097885,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_rpy/run_03
Temporal,fr3_walking_rpy,run_04,success,exit_0,completed,,866,419,0.809670826,0.743975292,0.866589700,0.319480219,0.143479978,2.990935025,0.483833718,0.516166282,5,3.581815837,3.194918382,271.055437548,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_rpy/run_04
Temporal,fr3_walking_rpy,run_05,success,exit_0,completed,,866,517,0.779885319,0.621131067,0.465807686,0.471611395,0.049339874,1.073171956,0.596997691,0.403002309,10,3.576832143,3.188691663,271.584741212,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_rpy/run_05
Temporal,fr3_walking_halfsphere,run_01,success,exit_0,completed,,1021,1003,0.647710344,0.628429194,0.649908450,0.156861203,0.028687489,0.680821944,0.982370225,0.017629775,1,9.109542246,6.821898654,149.665078848,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_halfsphere/run_01
Temporal,fr3_walking_halfsphere,run_02,success,exit_0,completed,,1021,669,0.527970049,0.503452646,0.461746980,0.159021400,0.030482892,0.696989505,0.655239961,0.344760039,3,9.214806351,7.124207269,143.314190819,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_halfsphere/run_02
Temporal,fr3_walking_halfsphere,run_03,success,exit_0,completed,,1021,770,0.191111619,0.140451895,0.084970468,0.129602916,0.035180210,0.738583745,0.754162586,0.245837414,6,9.164978783,7.161787186,142.562180840,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_halfsphere/run_03
Temporal,fr3_walking_halfsphere,run_04,success,exit_0,completed,,1021,511,0.205267664,0.172273645,0.128416974,0.111609164,0.030923844,0.622008536,0.500489716,0.499510284,9,9.080920079,7.083492780,144.137931900,1,P2 new,/home/djn/123/ORB_SLAM2_AddSemantic/experiments/final_paper/02_tum_comparison/Temporal/fr3_walking_halfsphere/run_04
